title,author,published_in
Don Quixote,Miguel de Cervantes,1612
A Tale of Two Cities,Charles Dickens,1859
The Fellowship of the Ring,J. R. R. Tolkien,1954
O Alquimista (The Alchemist),Paulo Coelho,1988
The Two Towers,J. R. R. Tolkien,1954
Le Petit Prince (The Little Prince),Antoine de Saint-Exupéry,1943
The Return of the King,J. R. R. Tolkien,1955
The Hobbit,J. R. R. Tolkien,1937
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997
紅樓夢/红楼梦 (Dream of the Red Chamber),Cao Xueqin,1754
And Then There Were None,Agatha Christie,1939
Alice in Wonderland,Lewis Carroll,1865
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950
She: A History of Adventure,H. Rider Haggard,1887
The Da Vinci Code,Dan Brown,2003
Think and Grow Rich,Napoleon Hill,1937
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005
The Catcher in the Rye,J. D. Salinger,1951
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1887
"20,000 Leagues under the Sea",Jules Verne,1870
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1998
Harry Potter and the Goblet of Fire,J. K. Rowling,2000
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003
Harry Potter and the Deathly Hallows,J. K. Rowling,2007
Cien años de soledad (One Hundred Years of Solitude),Gabriel García Márquez,1967
Lolita,Vladimir Nabokov,1955
Heidis Lehr- und Wanderjahre (Heidi's Years of Learning and Travel),Johanna Spyri,1880
The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,1946
Anne of Green Gables,Lucy Maud Montgomery,1908
Black Beauty,Anna Sewell,1877
Il Nome della Rosa (The Name of the Rose),Umberto Eco,1980
The Eagle Has Landed,Jack Higgins,1975
Watership Down,Richard Adams,1972
The Hite Report,Shere Hite,1976
Charlotte's Web,E.B. White,1952
The Ginger Man,J. P. Donleavy,1955
The Bridges of Madison County,Robert James Waller,1992
Ben-Hur: A Tale of the Christ,Lew Wallace,1880
The Mark of Zorro,Johnston McCulley,1924
The Tale of Peter Rabbit,Beatrix Potter,1902
The Odyssey,Homer,-800
Jonathan Livingston Seagull,Richard Bach,1970
A Message to Garcia,Elbert Hubbard,1899
Sofies verden (Sophie's World),Jostein Gaarder,1991
Flowers in the Attic,V. C. Andrews,1979
To Kill a Mockingbird,Harper Lee,1960
Angels & Demons,Dan Brown,2000
"Как закалялась сталь (Kak zakalyalas' stal'; How the Steel Was Tempered)",Nikolai Ostrovsky,1932
"Война и мир (Voyna i mir; War and Peace)",Leo Tolstoy,1869
Le avventure di Pinocchio. Storia di un burattino (The Adventures of Pinocchio),Carlo Collodi,1881
You Can Heal Your Life,Louise Hay,1984
Your Erroneous Zones,Wayne Dyer,1976
Kane and Abel,Jeffrey Archer,1979
Valley of the Dolls,Jacqueline Susann,1966
In His Steps: What Would Jesus Do?,Charles M. Sheldon,1896
The Lost Symbol,Dan Brown,2009
Gone with the Wind,Margaret Mitchell,1936
"Het Achterhuis (The Diary of a Young Girl, The Diary of Anne Frank)",Anne Frank,1947
The Purpose Driven Life,Rick Warren,2002
The Thorn Birds,Colleen McCullough,1977
The Revolt of Mamie Stover,William Bradford Huie,1951
Män som hatar kvinnor (The Girl with the Dragon Tattoo),Stieg Larsson,2005
The Very Hungry Caterpillar,Eric Carle,1969
"Молодая гвардия (Molodaya Gvardiya; The Young Guard)",Alexander Alexandrovich Fadeyev,1945
Who Moved My Cheese?,Spencer Johnson,1998
The Great Gatsby,F. Scott Fitzgerald,1925
The Wind in the Willows,Kenneth Grahame,1908
1984,George Orwell,1949
The 7 Habits of Highly Effective People,Stephen R. Covey,1989
"Поднятая целина (Podnyataya Tselina; Virgin Soil Upturned)",Mikhail Sholokhov,1935
The Celestine Prophecy,James Redfield,1993
The Hunger Games,Suzanne Collins,2008
"Дядя Степа (Dyadya Styopa; Uncle Styopa)",Sergey Mikhalkov,1936
The Godfather,Mario Puzo,1969
Love Story,Erich Segal,1970
狼图腾 (Wolf Totem),Jiang Rong,2004
The Happy Hooker: My Own Story,Xaviera Hollander,1971
Jaws,Peter Benchley,1974
Love You Forever,Robert Munsch,1986
The Women's Room,Marilyn,1977
The Adventures of Huckleberry Finn,Mark Twain,1885
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,1982
Pride and Prejudice,Jane Austen,1813
Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,1950
Osudy dobrého vojáka Švejka za světové války (The Good Soldier Švejk),Jaroslav Hašek,1923
Where the Wild Things Are,Maurice Sendak,1963
The Power of Positive Thinking,Norman Vincent Peale,1952
The Shack,William P. Young,2007
The Secret,Rhonda Byrne,2006
Fear of Flying,Erica Jong,1973
Dune,Frank Herbert,1965
Charlie and the Chocolate Factory,Roald Dahl,1964
The Fault in Our Stars,John Green,2012
Goodnight Moon,Margaret Wise Brown,1947
Die unendliche Geschichte (The Neverending Story),Michael Ende,1979
Guess How Much I Love You,Sam McBratney,1994
Shōgun,James Clavell,1975
The Poky Little Puppy,Janette Sebring Lowrey,1942
The Pillars of the Earth,Ken Follett,1989
How to Win Friends and Influence People,Dale Carnegie,1936
Das Parfum (Perfume),Patrick Süskind,1985
The Grapes of Wrath,John Steinbeck,1939
The Horse Whisperer,Nicholas Evans,1995
La sombra del viento (The Shadow of the Wind),Carlos Ruiz Zafón,2001
The Girl on the Train,Paula Hawkins,2015
"窓ぎわのトットちゃん (Totto-chan, the Little Girl at the Window)",Tetsuko Kuroyanagi,1981
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
Tuesdays with Morrie,Mitch Albom,1997
God's Little Acre,Erskine Caldwell,1933
Va' dove ti porta il cuore (Follow Your Heart),Susanna Tamaro,1994
A Wrinkle in Time,Madeleine L'Engle,1962
The Old Man and the Sea,Ernest Hemingway,1952
The Outsiders,S. E. Hinton,1967
Life After Life,Raymond Moody,1975
"ノルウェイの森 (Noruwei no Mori; Norwegian Wood)",Haruki Murakami,1987
Peyton Place,Grace Metalious,1956
La Peste (The Plague),Albert Camus,1947
"人間失格 (Ningen Shikkaku; No Longer Human)",Osamu Dazai,1948
The Naked Ape,Desmond Morris,1968
Ein Psychologe erlebt das Konzentrationslager (Man's Search for Meaning),Viktor Frankl,1946
Divina Commedia (Divine Comedy),Dante Alighieri,1304
Things Fall Apart,Chinua Achebe,1958
The Prophet,Khalil Gibran,1923
The Exorcist,William Peter Blatty,1971
The Gruffalo,Julia Donaldson,1999
Catch-22,Joseph Heller,1961
L'Étranger (The Stranger (novel)),Albert Camus,1942
Eye of the Needle,Ken Follett,1978
A Brief History of Time,Stephen Hawking,1988
The Cat in the Hat,Dr. Seuss,1957
The Lovely Bones,Alice Sebold,2002
Wild Swans,Jung Chang,1992
Santa Evita,Tomás Eloy Martínez,1995
Un di Velt Hot Geshvign (Night),Elie Wiesel,1958
The Kite Runner,Khaled Hosseini,2003
于丹《论语》心得 (Confucius from the Heart),Yu Dan,2006
The Total Woman,Marabel Morgan,1974
知価革命 (Knowledge-value Revolution),Taichi Sakaiya,1985
中国社会主义经济问题研究 (Problems in China's Socialist Economy),Xue Muqiao,1979
What Color is Your Parachute?,Richard Nelson Bolles,1970
The Dukan Diet,Pierre Dukan,2000
The Joy of Sex,Alex Comfort,1972
The Gospel According to Peanuts,Robert L. Short,1965
Life of Pi,Yann Martel,2001
The Giver,Lois Lowry,1993
The Front Runner,Patricia Nell Warren,1974
